,number,value,datetime_start,datetime_complete,duration,params_dropout,params_g_lr_ratio,params_g_steps,params_hidden_dim,params_k_steps,params_label_fake,params_label_real,params_lr_d,params_nhead,params_num_layers,state
38,38,,2025-12-12 06:03:04.898100,2025-12-12 06:03:04.957475,0 days 00:00:00.059375,0.12908945882686176,0.26463781626887,3,256,1,0.10960952382342637,0.9510409624786089,0.00032896535702499894,8,3,PRUNED
39,39,,2025-12-12 06:03:04.962956,2025-12-12 06:03:05.035123,0 days 00:00:00.072167,0.11327799592226535,0.8514492844424587,3,512,3,0.02970316463802303,0.9009620310316133,0.00018229071655375325,2,2,PRUNED
40,40,,2025-12-12 06:03:05.041080,2025-12-12 06:03:05.099928,0 days 00:00:00.058848,0.14747068485333775,0.6997071288504758,1,128,2,0.08809936234031121,0.9832814654147461,0.00010871321366705078,8,4,PRUNED
41,41,,2025-12-12 06:03:05.105135,2025-12-12 06:03:05.176727,0 days 00:00:00.071592,0.1894523768772294,1.095913321330389,2,512,2,0.016510784881529975,0.8822942036203357,0.00014640723542034065,2,2,PRUNED
42,42,,2025-12-12 06:03:05.182242,2025-12-12 06:03:05.241507,0 days 00:00:00.059265,0.25088525511572907,0.192371758630344,2,256,2,0.046691692965477705,0.8707679415812286,8.39283358416658e-05,4,2,PRUNED
43,43,,2025-12-12 06:03:05.249540,2025-12-12 06:03:05.308583,0 days 00:00:00.059043,0.15924701397370805,0.5946054422854512,2,256,2,0.0698899939255613,0.8858905010257864,0.00019281214332626055,4,2,PRUNED
44,44,,2025-12-12 06:03:05.314804,2025-12-12 06:03:05.372872,0 days 00:00:00.058068,0.2825603175021567,0.42640921013538946,2,256,2,0.036948505977344046,0.9067756818246578,7.747741071681966e-05,4,2,PRUNED
45,45,,2025-12-12 06:03:05.378294,2025-12-12 06:03:05.436907,0 days 00:00:00.058613,0.2548767154427945,0.3713830997678909,2,256,3,0.09181355415288928,0.8581481287578586,5.646754689705339e-05,4,2,PRUNED
46,46,,2025-12-12 06:03:05.442737,2025-12-12 06:03:05.505913,0 days 00:00:00.063176,0.27561800740766357,0.29536035027710583,2,128,2,0.13278039385283474,0.9968108526967477,0.00011624550023945401,4,4,PRUNED
47,47,,2025-12-12 06:03:05.511612,2025-12-12 06:03:05.587910,0 days 00:00:00.076298,0.21415256786783085,0.5526824721640702,2,512,2,0.19837207378843838,0.9392596613816938,6.577331163919043e-05,8,3,PRUNED
48,48,,2025-12-12 06:03:05.593728,2025-12-12 06:03:05.651919,0 days 00:00:00.058191,0.2362316139757959,0.46751719999179503,3,256,3,0.0747182077024101,0.9225492791738897,0.0004946359008180138,2,2,PRUNED
49,49,,2025-12-12 06:03:05.657681,2025-12-12 06:03:05.715930,0 days 00:00:00.058249,0.17580472281733533,0.8714012271485515,1,128,1,0.05181376669844995,0.9605831458137273,0.0002282490050563706,8,3,PRUNED
50,50,,2025-12-12 06:03:05.721838,2025-12-12 06:03:05.797555,0 days 00:00:00.075717,0.19896023835874707,1.1260950401495953,3,512,3,0.11370909996122505,0.8884651269945267,0.00035880081506868924,4,2,PRUNED
51,51,0.4739803094233474,2025-12-12 06:03:16.616772,2025-12-12 06:08:59.311971,0 days 00:05:42.695199,0.13368180792972628,0.6520429414046459,2,128,2,0.09864002177301308,0.9684657192965813,0.00045391676437121656,2,3,COMPLETE
52,52,0.4866385372714487,2025-12-12 06:08:59.321052,2025-12-12 06:16:18.809105,0 days 00:07:19.488053,0.13259687831469175,0.6252418056161881,2,128,2,0.09925929742127622,0.9701687513289812,0.00044611088141442603,2,4,COMPLETE
53,53,0.4641350210970464,2025-12-12 06:16:18.816687,2025-12-12 06:23:38.632908,0 days 00:07:19.816221,0.13186212036756845,0.6352350216050912,2,128,2,0.09603152975633421,0.9684507851506144,0.00044716144977032944,2,4,COMPLETE
54,54,0.469760900140647,2025-12-12 06:23:38.639436,2025-12-12 06:30:58.503223,0 days 00:07:19.863787,0.11474050488808515,0.6234837233415119,2,128,2,0.10076828260718301,0.967905251609775,0.00044652234601503746,2,4,COMPLETE
55,55,0.4542897327707454,2025-12-12 06:30:58.509743,2025-12-12 06:38:18.317011,0 days 00:07:19.807268,0.11574176854963465,0.6482888665733875,2,128,2,0.09953999045055646,0.9699270313675119,0.00045057791775547347,2,4,COMPLETE
56,56,0.35724331926863573,2025-12-12 06:38:18.324267,2025-12-12 06:38:47.694091,0 days 00:00:29.369824,0.11208650557690449,0.6547720758522576,2,128,2,0.10039242389719426,0.969169635631584,0.0004475353575946423,2,4,PRUNED
57,57,0.5021097046413502,2025-12-12 06:38:47.700361,2025-12-12 06:46:07.497070,0 days 00:07:19.796709,0.11136664602572546,0.6546363416646749,2,128,2,0.099782207555833,0.9686301166749031,0.00046268164671011807,2,4,COMPLETE
58,58,0.360056258790436,2025-12-12 06:46:07.504616,2025-12-12 06:46:36.886206,0 days 00:00:29.381590,0.13070518574956677,0.7682076854435156,2,128,2,0.12521385252563638,0.981751615142692,0.00040344565433521383,2,4,PRUNED
59,59,0.3952180028129395,2025-12-12 06:46:36.891853,2025-12-12 06:47:35.606423,0 days 00:00:58.714570,0.10524270337366744,0.6349942713069988,2,128,2,0.08151743315070929,0.9657882897935485,0.0004577250578367784,2,4,PRUNED
60,60,0.3234880450070324,2025-12-12 06:47:35.612454,2025-12-12 06:48:05.004980,0 days 00:00:29.392526,0.11828609454201894,0.7397038152304061,2,128,2,0.0954993622632645,0.956131255023656,0.0003775502285825754,2,4,PRUNED
61,61,0.41350210970464135,2025-12-12 06:48:05.011374,2025-12-12 06:49:03.717340,0 days 00:00:58.705966,0.10917482117894732,0.8077491575011339,2,128,2,0.11363279129692132,0.9761731706907925,0.000494985355564602,2,4,PRUNED
62,62,0.31223628691983124,2025-12-12 06:49:03.722884,2025-12-12 06:49:33.102757,0 days 00:00:29.379873,0.10781110243582961,0.8000601259286074,2,128,2,0.10752117750820547,0.9756770013887014,0.0004837444669679947,2,4,PRUNED
63,63,0.3670886075949367,2025-12-12 06:49:33.108707,2025-12-12 06:50:02.487703,0 days 00:00:29.378996,0.11691572771804355,0.6817290590885162,2,128,2,0.11622963987530152,0.9902180271369944,0.00042364568746690117,2,4,PRUNED
64,64,0.42053445850914206,2025-12-12 06:50:02.494152,2025-12-12 06:51:01.185172,0 days 00:00:58.691020,0.1278737354174354,0.6054386047331216,2,128,2,0.10053185568970811,0.9611827775189773,0.00045617125564283286,2,4,PRUNED
65,65,0.40646976090014064,2025-12-12 06:51:01.190648,2025-12-12 06:51:59.903906,0 days 00:00:58.713258,0.1312156430799564,0.6673174115109406,2,128,2,0.10164864456295941,0.9592359423901581,0.0004481842520651374,2,4,PRUNED
66,66,0.37834036568213786,2025-12-12 06:51:59.909622,2025-12-12 06:52:58.646808,0 days 00:00:58.737186,0.14286044256909256,0.6133729966392457,2,128,2,0.09023777997515683,0.9705330509589986,0.000390382570685993,2,4,PRUNED
67,67,0.3952180028129395,2025-12-12 06:52:58.652600,2025-12-12 06:53:57.367201,0 days 00:00:58.714601,0.1263121306817723,0.7293780742678614,2,128,2,0.09795344292589726,0.9476122078765649,0.0003092974365005268,2,4,PRUNED
68,68,0.41068917018284107,2025-12-12 06:53:57.373434,2025-12-12 06:54:56.093442,0 days 00:00:58.720008,0.13841715748895717,0.5697498791853941,2,128,2,0.12353413167825571,0.9816682142604277,0.00035959303479432986,2,4,PRUNED
69,69,0.35724331926863573,2025-12-12 06:54:56.099258,2025-12-12 06:55:25.486032,0 days 00:00:29.386774,0.12186084999145105,0.5027476353800816,2,128,2,0.0811190285917019,0.9637827173708995,0.00042213619221277487,2,4,PRUNED
70,70,0.36146272855133615,2025-12-12 06:55:25.493272,2025-12-12 06:55:54.873246,0 days 00:00:29.379974,0.13416722103177064,0.7041658480007171,2,128,2,0.1346723526384147,0.9523734920806247,0.00034021549303483306,2,4,PRUNED
