,number,value,datetime_start,datetime_complete,duration,params_embedding_dim,params_g_lr_ratio,params_hidden_dim,params_k_steps,params_label_fake,params_label_real,params_lr_d,params_noise_dim,state
32,32,0.4936708860759494,2025-12-13 16:29:03.917743,2025-12-13 16:29:24.519226,0 days 00:00:20.601483,256,0.46299145030741906,512,1,0.1700610473549858,0.9959664474112959,0.0001831122981193068,100,PRUNED
33,33,0.5752461322081576,2025-12-13 16:29:24.519345,2025-12-13 16:30:26.260423,0 days 00:01:01.741078,256,0.5797254121660055,512,1,0.14578032855468226,0.9846878089172203,0.00033622928950675186,100,PRUNED
34,34,0.4936708860759494,2025-12-13 16:30:26.260522,2025-12-13 16:30:46.825860,0 days 00:00:20.565338,256,0.20361857221033255,512,1,0.19987726235643205,0.9471001693985868,0.00011553056394538346,100,PRUNED
35,35,0.5794655414908579,2025-12-13 16:30:46.825959,2025-12-13 16:31:48.544419,0 days 00:01:01.718460,256,0.31397654769384004,512,1,0.12595211655676541,0.9375589366379887,0.0002596869070328451,100,PRUNED
36,36,0.4838255977496484,2025-12-13 16:31:48.544518,2025-12-13 16:31:55.995300,0 days 00:00:07.450782,256,0.37858768660477204,128,1,0.10842601133325339,0.9717159345474,0.00046391218028593616,100,PRUNED
37,37,0.6905766526019691,2025-12-13 16:31:55.995402,2025-12-13 16:34:58.863678,0 days 00:03:02.868276,256,0.7479991514916989,256,1,0.16436350883624254,0.9576445994537331,0.000674268222280755,100,PRUNED
38,38,0.35161744022503516,2025-12-13 16:34:58.863783,2025-12-13 16:35:15.846137,0 days 00:00:16.982354,64,0.5473575747849451,512,1,0.06017255973021475,0.8005251018756523,0.0001727817261547928,100,PRUNED
39,39,0.45147679324894513,2025-12-13 16:35:15.846249,2025-12-13 16:35:21.628007,0 days 00:00:05.781758,128,0.44074833727789237,128,2,0.17439225984568998,0.9316102321920101,0.0004483558515483316,100,PRUNED
40,40,0.7144866385372715,2025-12-13 16:35:21.628118,2025-12-13 16:40:28.036218,0 days 00:05:06.408100,256,0.8809000880384568,512,2,0.18683687939994595,0.918188909175291,0.0009964968684095788,100,COMPLETE
41,41,0.5147679324894515,2025-12-13 16:40:28.036389,2025-12-13 16:40:43.365954,0 days 00:00:15.329565,256,0.9146677845274143,512,2,0.18419004901824812,0.9125191807621487,0.0007450380709642752,100,PRUNED
42,42,0.5035161744022504,2025-12-13 16:40:43.366069,2025-12-13 16:40:58.684820,0 days 00:00:15.318751,256,0.8232359502622871,512,2,0.18860378948511833,0.9172565434184722,0.0009682330073381595,100,PRUNED
43,43,0.5161744022503516,2025-12-13 16:40:58.684921,2025-12-13 16:41:14.024196,0 days 00:00:15.339275,256,0.9447919965467547,512,2,0.1556766195328087,0.9357849988407235,0.00030250864935683387,100,PRUNED
44,44,0.4908579465541491,2025-12-13 16:41:14.024309,2025-12-13 16:41:27.513172,0 days 00:00:13.488863,256,0.872820100239567,512,3,0.13449915209483956,0.8960546176960161,8.515698888091785e-05,100,PRUNED
45,45,0.5119549929676512,2025-12-13 16:41:27.513273,2025-12-13 16:41:37.494707,0 days 00:00:09.981434,256,0.8619850811815521,256,2,0.16188105994936616,0.991483498644949,0.0007042237909513708,100,PRUNED
46,46,0.5864978902953587,2025-12-13 16:41:37.494813,2025-12-13 16:42:23.447943,0 days 00:00:45.953130,256,0.7661399842059237,512,2,0.14991769746608014,0.967521716334817,0.00054959259560471,100,PRUNED
47,47,0.2911392405063291,2025-12-13 16:42:23.448046,2025-12-13 16:42:42.066400,0 days 00:00:18.618354,128,0.525243301521639,512,1,0.03647686129688332,0.9481581036801371,1.6421803489465267e-05,100,PRUNED
48,48,0.47538677918424754,2025-12-13 16:42:42.066506,2025-12-13 16:42:54.676406,0 days 00:00:12.609900,64,0.9853031675151788,512,2,0.18619585622440996,0.8383093556908082,0.0003901228267196621,100,PRUNED
49,49,0.5991561181434599,2025-12-13 16:42:54.676513,2025-12-13 16:44:17.033563,0 days 00:01:22.357050,256,0.3763484692224599,512,1,0.09004390500145333,0.9785956550149577,0.0008830478685059327,100,PRUNED
